Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Spending,Has_child,Living_With,Children
Graduate,Single,58138.0,Without_Kid,Without_Teen,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,1617,0,Single,0
Graduate,Single,46344.0,With_Kid,With_Teen,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,27,1,Single,2
Graduate,Together,71613.0,Without_Kid,Without_Teen,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,776,0,Partner,0
Graduate,Together,26646.0,With_Kid,Without_Teen,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,53,1,Partner,1
Postgraduate,Married,58293.0,With_Kid,Without_Teen,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,422,1,Partner,1
Postgraduate,Together,62513.0,Without_Kid,With_Teen,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,716,1,Partner,1
Graduate,Divorced,55635.0,Without_Kid,With_Teen,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,590,1,Single,1
Postgraduate,Married,33454.0,With_Kid,Without_Teen,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,169,1,Partner,1
Postgraduate,Together,30351.0,With_Kid,Without_Teen,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,46,1,Partner,1
Postgraduate,Together,5648.0,With_Kid,With_Teen,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,49,1,Partner,2
Undergraduate,Married,7500.0,Without_Kid,Without_Teen,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,61,0,Partner,0
Graduate,Divorced,63033.0,Without_Kid,Without_Teen,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,1102,0,Single,0
